Site,Sl No.,Plot No.,Dimension,Area
Plots,1,2,"(43'0"" + 51'0"") / 2  x (60'3"" + 59'6"") / 2 ",2814
Plots,2,2 (A),"40'0"" x 60'0""",2400
Plots,3,2 (E),"(43'3""+64'0"") / 2 x (74'3""+59'6"") / 2",3586
Plots,4,3,"40'0"" x 60'0""",2400
Plots,5,3 (A),"40'0"" x 60'0""",2400
Plots,6,3 (D),"(46'3"" + 44'9"") / 2 x (59'9""+48'9"") / 2",2468
Plots,7,3 (E),"(61'6""+60'0"") / 2 x (48'9""+33'6"") / 2",2498
Plots,8,4,"40'0"" x 60'0""",2400
Plots,9,4 (A),"40'0"" x 60'0""",2400
Plots,10,4 (E),"(107'6""+104'6"") / 2 x (33'6""+8'3"") / 2",2213
Plots,11,5 (D),"(51'0""+50'0"") / 2 x (31'0""+19'6"") / 2",1275
Plots,12,7,"(67'3""+51'3"") / 2 x (114'0""+70'0"") / 2 ",5451
Plots,13,7 (A),"51'3"" x 40'0""",2050
Plots,14,7 (B),"(67'9""+52'6"") / 2 x (113'0""+70'3"") / 2 ",5509
Plots,15,8,"51'3"" x 40'0""",2050
Plots,16,8 (A),"(51'3""+51'0"") / 2  x 40'0""",2045
Plots,17,8 (B),"52'6"" x 40'0""",2100
Plots,18,8 (C),"52'6"" x 40'0""",2100
Plots,19,9,"51'0"" x 40'0""",2040
Plots,20,9 (A),"51'0"" x 40'0""",2040
Plots,21,9 (B),"52'6"" x 40'0""",2100
Plots,22,9 (C),"52'6"" x 40'0""",2100
Plots,23,10,"51'0"" x 40'0""",2040
Plots,24,10 (A),"(52'6"" + 52'3"") / 2  x 40'0""",2095
Plots,25,13,"80' 0"" x 80' 0""",6400
Plots,26,14,"80' 0"" x 80' 0""",6400
Plots,27,15,"(52'9""+52'3"") / 2  x 40'0""",2100
Plots,28,15 (a),"53'0"" x 40'0""",2120
Plots,29,16,"52'9"" x 40'0""",2110
Plots,30,16 (A),"52'9"" x 40'0""",2110
Plots,31,17 A,"50'6"" x 40'0""",2020
Plots,32,17 B,"(66'0""+50'6"") / 2 x (87'3""+46'0"") / 2",3881
Plots,33,18,"80'0"" x (42'5"" + 107'7"") / 2",6000
Plots,34,19,"50' 0'' x 80' 0""",4000
Plots,35,20,"44' 6'' x 80' 0""",3560
Plots,36,21,"50' 0'' x 80' 0""",4000
Plots,37,22,"50' 0'' x 80' 0""",4000
Plots,38,23,"50' 0'' x 80' 0""",4000
Plots,39,24,"(80'0"" + 83'3"") / 2  x (73'0"" + 90'6"") / 2",6673
Plots,40,25,"80'0"" x 50'0""",4000
Plots,41,25 (A),"(80'0""+84'6"") / 2 x (24'6""+0'0"") / 2",1008
Plots,42,26,"50' 0"" x 80' 0""",4000
Plots,43,27,"50' 0"" x 80' 0""",4000
Plots,44,28,"50' 0"" x 80' 0""",4000
Plots,45,31,"(51'6""+40'0"") / 2 x (90'0""+57'6"") / 2",3374
Plots,46,31 (a),"(51'6""+40'0"") / 2 x (57'6""+25'0"") / 2",1887
Plots,47,32,"50' 0"" x 80' 0""",4000
